Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_077970,Shokwe virus,RefSeq,GCF_009732415.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,4427,complete,M,"South Africa: Ndumu, Natal, Shokwe pan",,Aedes cumminsii,,1962-01-11
NC_077971,Shokwe virus,RefSeq,GCF_009732415.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,943,complete,S,"South Africa: Ndumu, Natal, Shokwe pan",,Aedes cumminsii,,1962-01-11
NC_077972,Shokwe virus,RefSeq,GCF_009732415.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,6858,complete,L,"South Africa: Ndumu, Natal, Shokwe pan",,Aedes cumminsii,,1962-01-11
NC_077973,Apeu virus,RefSeq,GCF_009732435.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,4534,complete,M,Brazil,,Sapajus apella,,1955-10-14
NC_077974,Apeu virus,RefSeq,GCF_009732435.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,6935,complete,L,Brazil,,Sapajus apella,,1955-10-14
NC_077975,Apeu virus,RefSeq,GCF_009732435.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,1082,complete,S,Brazil,,Sapajus apella,,1955-10-14
NC_077979,Nepuyo virus,RefSeq,GCF_009732475.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,6960,complete,L,Brazil,,Mus,,1959
NC_077980,Nepuyo virus,RefSeq,GCF_009732475.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,1003,complete,S,Brazil,,Mus,,1959
NC_077981,Nepuyo virus,RefSeq,GCF_009732475.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,4556,complete,M,Brazil,,Mus,,1959
NC_077982,Bruconha virus,RefSeq,GCF_009732535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,1034,complete,S,Brazil,,Mus,,1977
NC_077983,Bruconha virus,RefSeq,GCF_009732535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,7006,complete,L,Brazil,,Mus,,1977
NC_077984,Bruconha virus,RefSeq,GCF_009732535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,4685,complete,M,Brazil,,Mus,,1977
NC_077985,Anopheles A virus,RefSeq,GCF_009732575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,989,complete,S,Colombia: Villavicencio Meta,,Anopheles boliviensis,,1940-08-15
NC_077986,Anopheles A virus,RefSeq,GCF_009732575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,6881,complete,L,Colombia: Villavicencio Meta,,Anopheles boliviensis,,1940-08-15
NC_077987,Anopheles A virus,RefSeq,GCF_009732575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,4337,complete,M,Colombia: Villavicencio Meta,,Anopheles boliviensis,,1940-08-15
NC_078003,Northway virus,RefSeq,GCF_009732765.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,6862,complete,L,"USA: Alaska, Northway",AK,Aedes sp.,,1971-08-25
NC_078004,Northway virus,RefSeq,GCF_009732765.1,"Charles,J., Tangudu,C.S., Blitvich,B.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,951,complete,S,USA,,Aedes,,1972
NC_078005,Northway virus,RefSeq,GCF_009732765.1,"Charles,J., Tangudu,C.S., Blitvich,B.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,4540,complete,M,USA,,Aedes,,1972
NC_078143,Gossas virus,RefSeq,GCF_014883225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,1608,complete,S,Senegal,,Tadarida,,1964-11-19
NC_078144,Gossas virus,RefSeq,GCF_014883225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,5941,complete,M,Senegal,,Tadarida,,1964-11-19
NC_078145,Gossas virus,RefSeq,GCF_014883225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,12577,complete,L,Senegal,,Tadarida,,1964-11-19
NC_078320,Orthonairovirus tomdiense,RefSeq,GCF_018595155.1,"Ergunay,K., Dincer,E., Kar,S., Emanet,N., Yalcinkaya,D., Polat Dincer,P.F., Brinkmann,A., Hacioglu,S., Nitsche,A., Ozkul,A., Linton,Y.M.","National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,11943,complete,L,Turkey,,Hyalomma aegyptium,,2017-06
NC_078321,Orthonairovirus tomdiense,RefSeq,GCF_018595155.1,"Ergunay,K., Dincer,E., Kar,S., Emanet,N., Yalcinkaya,D., Polat Dincer,P.F., Brinkmann,A., Hacioglu,S., Nitsche,A., Ozkul,A., Linton,Y.M.","National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,4077,complete,M,Turkey,,Hyalomma aegyptium,,2017-06
NC_078322,Orthonairovirus tomdiense,RefSeq,GCF_018595155.1,"Ergunay,K., Dincer,E., Kar,S., Emanet,N., Yalcinkaya,D., Polat Dincer,P.F., Brinkmann,A., Hacioglu,S., Nitsche,A., Ozkul,A., Linton,Y.M.","National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,1452,complete,S,Turkey,,Hyalomma aegyptium,,2017-06
NC_055922,Pacific coast tick nairovirus,RefSeq,GCF_018594895.1,"Bouquet,J., Lane,R.S., Melgar,M., Fedorova,N., Chiu,C.Y.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Docc2011cons,Orthonairovirus dermacentoris,4453,complete,L,USA,,Dermacentor occidentalis,,2011
NC_055940,Clo Mor virus,RefSeq,GCF_018594865.1,"Walker,P.J., Widen,S.G., Wood,T.G., Guzman,H., Tesh,R.B., Vasilakis,N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,52301-14,Orthonairovirus sakhalinense,1662,complete,S,USA: Texas,TX,Argas cooleyi,,1969-07-28
NC_077216,Pepper yellows virus,RefSeq,GCF_900078425.1,"Lotos,L.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Pepper yellows virus,6096,complete,,Greece,,Capsicum annuum,,2014-01
NC_077669,Orthohantavirus sinnombreense,RefSeq,GCF_002830985.1,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,NM R11,Orthohantavirus sinnombreense,2060,complete,,,,Peromyscus maniculatus,,
NC_077670,Orthohantavirus sinnombreense,RefSeq,GCF_002830985.1,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,NM R11,Orthohantavirus sinnombreense,3696,complete,,,,Peromyscus maniculatus,,
NC_077671,Orthohantavirus sinnombreense,RefSeq,GCF_002830985.1,"Chizhikov,V.E., Spiropoulou,C.F., Morzunov,S.P., Monroe,M.C., Peters,C.J., Nichol,S.T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,NM R11,Orthohantavirus sinnombreense,6562,complete,,,,Peromyscus maniculatus,,
NC_077674,Gentian mosaic virus,RefSeq,GCF_002867125.1,"Kobayashi,Y.O., Kobayashi,A., Hagiwara,K., Uga,H., Mikoshiba,Y., Naito,T., Honda,Y., Omura,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,N-1,Fabavirus gentianae,3372,complete,,,,,,
NC_077675,Gentian mosaic virus,RefSeq,GCF_002867125.1,"Kobayashi,Y.O., Kobayashi,A., Hagiwara,K., Uga,H., Mikoshiba,Y., Naito,T., Honda,Y., Omura,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,N-1,Fabavirus gentianae,5836,complete,,,,,,
NC_077680,Tomato mottle leaf curl virus,RefSeq,GCF_002867675.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,BR:Jai13:08,Tomato mottle leaf curl virus,2630,complete,DNA-A,Brazil,,Solanum lycopersicum,,2008
NC_077695,Cannabis cryptic virus,RefSeq,GCF_002868155.1,"Ziegler,A., Matousek,J., Steger,G., Schubert,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Fedora17,Cannabis cryptic virus,2290,complete,RNA2,Germany,,Cannabis sativa,,2010-10
NC_077696,Cannabis cryptic virus,RefSeq,GCF_002868155.1,"Ziegler,A., Matousek,J., Steger,G., Schubert,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Fedora17,Cannabis cryptic virus,2420,complete,RNA1,Germany,,Cannabis sativa,,2010-10
NC_077711,Sida micrantha mosaic virus,RefSeq,GCF_002986855.1,"Jovel,J., Reski,G., Rothenstein,D., Ringel,M., Frischmuth,T., Jeske,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,A1B3,Sida micrantha mosaic virus,2659,complete,A,Brazil,,,,
NC_077712,Sida micrantha mosaic virus,RefSeq,GCF_002986855.1,"Jovel,J., Reski,G., Rothenstein,D., Ringel,M., Frischmuth,T., Jeske,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,A1B3,Sida micrantha mosaic virus,2629,complete,B,Brazil,,,,
NC_077719,Cotton yellow mosaic virus,RefSeq,GCF_003029335.1,"Leke,W.N., Khatabi,B., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,BN-Gos-San2-14,Cotton yellow mosaic virus,2766,complete,DNA-A,Benin,,Gossypium raimondii,,2014
NC_077720,Cotton yellow mosaic virus,RefSeq,GCF_003029335.1,"Leke,W.N., Khatabi,B., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,BN-Gos-San2-14,Cotton yellow mosaic virus,2716,complete,DNA-B,Benin,,Gossypium raimondii,,2014
NC_077721,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,2193,complete,,France,,Zea mays,,2015
NC_077722,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,1900,complete,,France,,Zea mays,,2015
NC_077723,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,1936,complete,,France,,Zea mays,,2015
NC_077724,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,1802,complete,,France,,Zea mays,,2015
NC_077725,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,3164,complete,,France,,Zea mays,,2015
NC_077726,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,4502,complete,,France,,Zea mays,,2015
NC_077727,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,3573,complete,,France,,Zea mays,,2015
NC_077728,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,3617,complete,,France,,Zea mays,,2015
NC_077729,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,3813,complete,,France,,Zea mays,,2015
NC_077730,Maize rough dwarf virus,RefSeq,GCF_003032535.1,"Svanella-Dumas,L., Marais,A., Faure,C., Theil,S., Thibord,J.-B., Candresse,T.","National Center for Biotechnology Information, NIH",USA,2023-05-06,JO-4,Maize rough dwarf virus,2645,complete,,France,,Zea mays,,2015
NC_077751,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,2039,complete,M3,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077752,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,1325,complete,S2,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077753,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,4011,complete,L1,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077754,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,3829,complete,L2,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077755,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,1201,complete,S4,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077756,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,3903,complete,L3,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077757,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,2287,complete,M1,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077758,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,2156,complete,M2,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
