Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Length,Nuc_Completeness,Segment,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_077926,Ananindeua virus,RefSeq,GCF_009732055.1,"Hughes,H.R., Russell,B., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,Orthobunyavirus,4815,complete,M,Brazil,,Mus,,1960-06
NC_077927,Ananindeua virus,RefSeq,GCF_009732055.1,"Hughes,H.R., Russell,B., Lambert,A.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn20525,Orthobunyavirus ananindeuaense,Orthobunyavirus,6935,complete,L,Brazil,,Mus,,1960-06
NC_077934,Infirmatus virus,RefSeq,GCF_009732155.1,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,Orthobunyavirus,6967,complete,L,USA,,Ochlerotatus infirmatus,,2008-04-22
NC_077935,Infirmatus virus,RefSeq,GCF_009732155.1,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,Orthobunyavirus,968,complete,S,USA,,Ochlerotatus infirmatus,,2008-04-22
NC_077936,Infirmatus virus,RefSeq,GCF_009732155.1,"Rogers,M.B., Gulino,K.M., Tesh,R.B., Cui,L., Fitch,A., Unnasch,T.R., Popov,V.L., Travassos da Rosa,A.P.A., Guzman,H., Carrera,J.P., Vasilakis,N., Ghedin,E., Carrera,J.-P.","National Center for Biotechnology Information, NIH",USA,2023-05-07,Tampa 08,Orthobunyavirus achiotei,Orthobunyavirus,4495,complete,M,USA,,Ochlerotatus infirmatus,,2008-04-22
NC_077940,Abras virus,RefSeq,GCF_009732215.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,Orthobunyavirus,4777,complete,M,Ecuador,,Culex paracrybda,,1974-08-21
NC_077941,Abras virus,RefSeq,GCF_009732215.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,Orthobunyavirus,6901,complete,L,Ecuador,,Culex paracrybda,,1974-08-21
NC_077942,Abras virus,RefSeq,GCF_009732215.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,75V1183,Orthobunyavirus abrasense,Orthobunyavirus,1073,complete,S,Ecuador,,Culex paracrybda,,1974-01-21
NC_077946,Shark River virus,RefSeq,GCF_009732255.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,Orthobunyavirus,6824,complete,L,Mexico,,Cricetinae,,1964
NC_077947,Shark River virus,RefSeq,GCF_009732255.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,Orthobunyavirus,4661,complete,M,Mexico,,Cricetinae,,1964
NC_077948,Shark River virus,RefSeq,GCF_009732255.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,64U80,Orthobunyavirus squalofluvii,Orthobunyavirus,1019,complete,S,Mexico,,Cricetinae,,1964
NC_077970,Shokwe virus,RefSeq,GCF_009732415.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,4427,complete,M,"South Africa: Ndumu, Natal, Shokwe pan",,Aedes cumminsii,,1962-01-11
NC_077971,Shokwe virus,RefSeq,GCF_009732415.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,943,complete,S,"South Africa: Ndumu, Natal, Shokwe pan",,Aedes cumminsii,,1962-01-11
NC_077972,Shokwe virus,RefSeq,GCF_009732415.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,6858,complete,L,"South Africa: Ndumu, Natal, Shokwe pan",,Aedes cumminsii,,1962-01-11
NC_077973,Apeu virus,RefSeq,GCF_009732435.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,Orthobunyavirus,4534,complete,M,Brazil,,Sapajus apella,,1955-10-14
NC_077974,Apeu virus,RefSeq,GCF_009732435.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,Orthobunyavirus,6935,complete,L,Brazil,,Sapajus apella,,1955-10-14
NC_077975,Apeu virus,RefSeq,GCF_009732435.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn848,Orthobunyavirus apeuense,Orthobunyavirus,1082,complete,S,Brazil,,Sapajus apella,,1955-10-14
NC_077979,Nepuyo virus,RefSeq,GCF_009732475.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,Orthobunyavirus,6960,complete,L,Brazil,,Mus,,1959
NC_077980,Nepuyo virus,RefSeq,GCF_009732475.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,Orthobunyavirus,1003,complete,S,Brazil,,Mus,,1959
NC_077981,Nepuyo virus,RefSeq,GCF_009732475.1,"Nunes,M.R., de Souza,W.M., Acrani,G.O., Cardoso,J.F., da Silva,S.P., Badra,S.J., Figueiredo,L.T., Vasconcelos,P.F., Souza,W.M., Silva,S.P., Vasconcelos,P.F.C.","National Center for Biotechnology Information, NIH",USA,2023-05-07,BeAn10709,Orthobunyavirus maritubaense,Orthobunyavirus,4556,complete,M,Brazil,,Mus,,1959
NC_077982,Bruconha virus,RefSeq,GCF_009732535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,Orthobunyavirus,1034,complete,S,Brazil,,Mus,,1977
NC_077983,Bruconha virus,RefSeq,GCF_009732535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,Orthobunyavirus,7006,complete,L,Brazil,,Mus,,1977
NC_077984,Bruconha virus,RefSeq,GCF_009732535.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,77V74814,Orthobunyavirus bruconhaense,Orthobunyavirus,4685,complete,M,Brazil,,Mus,,1977
NC_077985,Anopheles A virus,RefSeq,GCF_009732575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,Orthobunyavirus,989,complete,S,Colombia: Villavicencio Meta,,Anopheles boliviensis,,1940-08-15
NC_077986,Anopheles A virus,RefSeq,GCF_009732575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,Orthobunyavirus,6881,complete,L,Colombia: Villavicencio Meta,,Anopheles boliviensis,,1940-08-15
NC_077987,Anopheles A virus,RefSeq,GCF_009732575.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,original,Orthobunyavirus horizonteense,Orthobunyavirus,4337,complete,M,Colombia: Villavicencio Meta,,Anopheles boliviensis,,1940-08-15
NC_078003,Northway virus,RefSeq,GCF_009732765.1,"Kapuscinski,M.L., Bergren,N.A., Russell,B.J., Lee,J.S., Borland,E.M., Hartman,D.A., King,D.C., Hughes,H.R., Burkhalter,K.L., Kading,R.C., Stenglein,M.D., Layton,M., Bergren,N., Lee,J., Russell,B., Stenglein,M., Kading,R.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,6862,complete,L,"USA: Alaska, Northway",AK,Aedes sp.,,1971-08-25
NC_078004,Northway virus,RefSeq,GCF_009732765.1,"Charles,J., Tangudu,C.S., Blitvich,B.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,951,complete,S,USA,,Aedes,,1972
NC_078005,Northway virus,RefSeq,GCF_009732765.1,"Charles,J., Tangudu,C.S., Blitvich,B.J.","National Center for Biotechnology Information, NIH",USA,2023-05-07,,Orthobunyavirus bunyamweraense,Orthobunyavirus,4540,complete,M,USA,,Aedes,,1972
NC_078143,Gossas virus,RefSeq,GCF_014883225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,Orthonairovirus,1608,complete,S,Senegal,,Tadarida,,1964-11-19
NC_078144,Gossas virus,RefSeq,GCF_014883225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,Orthonairovirus,5941,complete,M,Senegal,,Tadarida,,1964-11-19
NC_078145,Gossas virus,RefSeq,GCF_014883225.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-07,DakAnD 401,Orthonairovirus gossasense,Orthonairovirus,12577,complete,L,Senegal,,Tadarida,,1964-11-19
NC_078320,Orthonairovirus tomdiense,RefSeq,GCF_018595155.1,"Ergunay,K., Dincer,E., Kar,S., Emanet,N., Yalcinkaya,D., Polat Dincer,P.F., Brinkmann,A., Hacioglu,S., Nitsche,A., Ozkul,A., Linton,Y.M.","National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,Orthonairovirus,11943,complete,L,Turkey,,Hyalomma aegyptium,,2017-06
NC_078321,Orthonairovirus tomdiense,RefSeq,GCF_018595155.1,"Ergunay,K., Dincer,E., Kar,S., Emanet,N., Yalcinkaya,D., Polat Dincer,P.F., Brinkmann,A., Hacioglu,S., Nitsche,A., Ozkul,A., Linton,Y.M.","National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,Orthonairovirus,4077,complete,M,Turkey,,Hyalomma aegyptium,,2017-06
NC_078322,Orthonairovirus tomdiense,RefSeq,GCF_018595155.1,"Ergunay,K., Dincer,E., Kar,S., Emanet,N., Yalcinkaya,D., Polat Dincer,P.F., Brinkmann,A., Hacioglu,S., Nitsche,A., Ozkul,A., Linton,Y.M.","National Center for Biotechnology Information, NIH",USA,2023-05-07,TT1,Orthonairovirus tomdiense,Orthonairovirus,1452,complete,S,Turkey,,Hyalomma aegyptium,,2017-06
NC_055922,Pacific coast tick nairovirus,RefSeq,GCF_018594895.1,"Bouquet,J., Lane,R.S., Melgar,M., Fedorova,N., Chiu,C.Y.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Docc2011cons,Orthonairovirus dermacentoris,Orthonairovirus,4453,complete,L,USA,,Dermacentor occidentalis,,2011
NC_055940,Clo Mor virus,RefSeq,GCF_018594865.1,"Walker,P.J., Widen,S.G., Wood,T.G., Guzman,H., Tesh,R.B., Vasilakis,N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,52301-14,Orthonairovirus sakhalinense,Orthonairovirus,1662,complete,S,USA: Texas,TX,Argas cooleyi,,1969-07-28
NC_077680,Tomato mottle leaf curl virus,RefSeq,GCF_002867675.1,,"National Center for Biotechnology Information, NIH",USA,2023-05-06,BR:Jai13:08,Tomato mottle leaf curl virus,Begomovirus,2630,complete,DNA-A,Brazil,,Solanum lycopersicum,,2008
NC_077695,Cannabis cryptic virus,RefSeq,GCF_002868155.1,"Ziegler,A., Matousek,J., Steger,G., Schubert,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Fedora17,Cannabis cryptic virus,Betapartitivirus,2290,complete,RNA2,Germany,,Cannabis sativa,,2010-10
NC_077696,Cannabis cryptic virus,RefSeq,GCF_002868155.1,"Ziegler,A., Matousek,J., Steger,G., Schubert,J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Fedora17,Cannabis cryptic virus,Betapartitivirus,2420,complete,RNA1,Germany,,Cannabis sativa,,2010-10
NC_077711,Sida micrantha mosaic virus,RefSeq,GCF_002986855.1,"Jovel,J., Reski,G., Rothenstein,D., Ringel,M., Frischmuth,T., Jeske,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,A1B3,Sida micrantha mosaic virus,Begomovirus,2659,complete,A,Brazil,,,,
NC_077712,Sida micrantha mosaic virus,RefSeq,GCF_002986855.1,"Jovel,J., Reski,G., Rothenstein,D., Ringel,M., Frischmuth,T., Jeske,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,A1B3,Sida micrantha mosaic virus,Begomovirus,2629,complete,B,Brazil,,,,
NC_077719,Cotton yellow mosaic virus,RefSeq,GCF_003029335.1,"Leke,W.N., Khatabi,B., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,BN-Gos-San2-14,Cotton yellow mosaic virus,Begomovirus,2766,complete,DNA-A,Benin,,Gossypium raimondii,,2014
NC_077720,Cotton yellow mosaic virus,RefSeq,GCF_003029335.1,"Leke,W.N., Khatabi,B., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,BN-Gos-San2-14,Cotton yellow mosaic virus,Begomovirus,2716,complete,DNA-B,Benin,,Gossypium raimondii,,2014
NC_077751,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,2039,complete,M3,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077752,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,1325,complete,S2,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077753,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,4011,complete,L1,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077754,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,3829,complete,L2,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077755,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,1201,complete,S4,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077756,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,3903,complete,L3,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077757,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,2287,complete,M1,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077758,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,2156,complete,M2,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077759,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,1637,complete,S1,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077760,Avian orthoreovirus,RefSeq,GCF_003092915.1,"Kirisawa,R., Ogasawara,Y., Kikuchi,N., Ueda,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Avian orthoreovirus,Orthoreovirus,1205,complete,S3,Japan:Wakayama,,Hypsipetes amaurotis,abdominal cavity,2011-02
NC_077761,Wenzhou crab virus 2,RefSeq,GCF_003673645.1,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Chuvivirus canceris,Chuvivirus,4698,complete,2,China,,Charybdis japonica,,2013
NC_077762,Wenzhou crab virus 2,RefSeq,GCF_003673645.1,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Chuvivirus canceris,Chuvivirus,6959,complete,1,China,,Charybdis japonica,,2013
NC_077763,Lishi spider virus 1,RefSeq,GCF_003673665.1,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Scarabeuvirus lishiense,Scarabeuvirus,7051,complete,1,China,,Parasteatoda tepidariorum,,2013
NC_077764,Lishi spider virus 1,RefSeq,GCF_003673665.1,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Scarabeuvirus lishiense,Scarabeuvirus,4426,complete,2,China,,Parasteatoda tepidariorum,,2013
NC_077769,Infectious bursal disease virus,RefSeq,GCF_003971645.1,"Mundt,E., Muller,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,"1977, from Schobries et al (1977)",Avibirnavirus gumboroense,Avibirnavirus,3261,complete,A,,,,,
NC_077770,Infectious bursal disease virus,RefSeq,GCF_003971645.1,"Mundt,E., Muller,H.","National Center for Biotechnology Information, NIH",USA,2023-05-06,1977 from Schobries et al (1977),Avibirnavirus gumboroense,Avibirnavirus,2827,complete,B,,,,,
NC_077800,Peach leaf pitting-associated virus,RefSeq,GCF_004114855.1,"He,Y., Cai,L., Zhou,L., Yang,Z., Hong,N., Wang,G., Li,S., Xu,W.","National Center for Biotechnology Information, NIH",USA,2023-05-06,XJ-6,Fabavirus persicae,Fabavirus,3861,complete,RNA2,China,,Prunus persica,,2013-05
NC_077801,Peach leaf pitting-associated virus,RefSeq,GCF_004114855.1,"He,Y., Cai,L., Zhou,L., Yang,Z., Hong,N., Wang,G., Li,S., Xu,W.","National Center for Biotechnology Information, NIH",USA,2023-05-06,XJ-6,Fabavirus persicae,Fabavirus,6357,complete,RNA1,China,,Prunus persica,,2013-05
NC_077802,West African Asystasia virus 1,RefSeq,GCF_004787555.1,"Leke,W.N., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Benin-asystasia-58-14,West African Asystasia virus 1,Begomovirus,2661,complete,DNA-B,Benin,,Asystasia,,2014
NC_077803,West African Asystasia virus 1,RefSeq,GCF_004787555.1,"Leke,W.N., Mignouna,D.B., Brown,J.K., Fondong,V.N.","National Center for Biotechnology Information, NIH",USA,2023-05-06,Benin-asystasia-58-14,West African Asystasia virus 1,Begomovirus,2728,complete,DNA-A,Benin,,Asystasia,,2014
NC_077806,Mammarenavirus choriomeningitidis,RefSeq,GCF_004789475.1,"Grande-Perez,A., Gomez-Mariano,G., Lowenstein,P.R., Domingo,E.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mammarenavirus choriomeningitidis,Mammarenavirus,7228,complete,L,,,,,
NC_077807,Mammarenavirus choriomeningitidis,RefSeq,GCF_004789475.1,"Grande-Perez,A., Gomez-Mariano,G., Lowenstein,P.R., Domingo,E.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Mammarenavirus choriomeningitidis,Mammarenavirus,3376,complete,S,,,,,
NC_077808,La Crosse virus,RefSeq,GCF_004789695.1,"Bennett,R.S., Ton,D.R., Hanson,C.T., Murphy,B.R., Whitehead,S.S.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus lacrosseense,Orthobunyavirus,984,complete,small,USA: Minnesota,MN,,,1960
NC_077809,La Crosse virus,RefSeq,GCF_004789695.1,"Bennett,R.S., Ton,D.R., Hanson,C.T., Murphy,B.R., Whitehead,S.S.","National Center for Biotechnology Information, NIH",USA,2023-05-06,,Orthobunyavirus lacrosseense,Orthobunyavirus,4526,complete,medium,USA: Minnesota,MN,,,1960
